country,year,iso3c,region,income,pop,gdp,gini,itnet_pop,high_tech,poverty,unemployement,gdpPercap
Andorra,1992,AND,Europe & Central Asia,High income,58888,1210013652,NA,0,NA,NA,NA,20547.71179
Andorra,1993,AND,Europe & Central Asia,High income,60971,1007025755,NA,0,NA,NA,NA,16516.47103
Andorra,2007,AND,Europe & Central Asia,High income,82684,3952600602,NA,70.87,33424896,NA,NA,47803.69361
Andorra,2008,AND,Europe & Central Asia,High income,83862,4085630584,NA,70.04,17935435,NA,NA,48718.49687
Andorra,2009,AND,Europe & Central Asia,High income,84463,3674409558,NA,78.53,10402350,NA,NA,43503.18552
Andorra,2005,AND,Europe & Central Asia,High income,78867,3159905484,NA,37.60576622,NA,NA,NA,40066.25692
Andorra,1966,AND,Europe & Central Asia,High income,19647,NA,NA,NA,NA,NA,NA,NA
Andorra,2003,AND,Europe & Central Asia,High income,73182,2361726862,NA,13.54641288,NA,NA,NA,32271.9639
Andorra,2004,AND,Europe & Central Asia,High income,76244,2894921778,NA,26.83795439,NA,NA,NA,37969.17499
Andorra,2006,AND,Europe & Central Asia,High income,80993,3456442103,NA,48.936847,NA,NA,NA,42675.81276
United Arab Emirates,2004,ARE,Middle East & North Africa,High income,4068570,1.47824E+11,NA,30.13129617,NA,NA,NA,36333.24984
United Arab Emirates,2005,ARE,Middle East & North Africa,High income,4588225,1.80617E+11,NA,40,NA,NA,3.119999886,39365.4339
United Arab Emirates,2007,ARE,Middle East & North Africa,High income,6168838,2.57916E+11,NA,61,NA,NA,NA,41809.51638
United Arab Emirates,2008,ARE,Middle East & North Africa,High income,7089487,3.15475E+11,NA,63,214703082,NA,NA,44498.93423
United Arab Emirates,2009,ARE,Middle East & North Africa,High income,7917372,2.53547E+11,NA,64,NA,NA,NA,32024.1816
United Arab Emirates,2006,ARE,Middle East & North Africa,High income,5300174,2.22117E+11,NA,52,NA,NA,NA,41907.40566
United Arab Emirates,2002,ARE,Middle East & North Africa,High income,3478777,1.09816E+11,NA,28.31648531,NA,NA,NA,31567.47371
United Arab Emirates,2003,ARE,Middle East & North Africa,High income,3711932,1.24346E+11,NA,29.47795341,NA,NA,NA,33499.09375
United Arab Emirates,1990,ARE,Middle East & North Africa,High income,1828432,50701443748,NA,0,NA,NA,NA,27729.46642
United Arab Emirates,1991,ARE,Middle East & North Africa,High income,1937153,51552165622,NA,0,NA,NA,NA,26612.33554
United Arab Emirates,1992,ARE,Middle East & North Africa,High income,2052891,54239171888,NA,0,NA,NA,NA,26420.87275
United Arab Emirates,1993,ARE,Middle East & North Africa,High income,2173139,55625170253,NA,0,NA,NA,NA,25596.69227
United Arab Emirates,1994,ARE,Middle East & North Africa,High income,2294385,59305093980,NA,0,NA,NA,NA,25847.92612
United Arab Emirates,1995,ARE,Middle East & North Africa,High income,2415090,65743666576,NA,0.102939175,NA,NA,1.799999952,27222.03586
United Arab Emirates,1996,ARE,Middle East & North Africa,High income,2539126,73571233996,NA,0.375393534,NA,NA,NA,28975.0229
United Arab Emirates,1997,ARE,Middle East & North Africa,High income,2671362,78839008445,NA,3.295592694,NA,NA,NA,29512.66374
United Arab Emirates,1998,ARE,Middle East & North Africa,High income,2813214,75674336283,NA,6.908302986,NA,NA,NA,26899.60177
United Arab Emirates,1999,ARE,Middle East & North Africa,High income,2966034,84445473111,NA,14.94269899,NA,NA,NA,28470.83786
United Arab Emirates,2001,ARE,Middle East & North Africa,High income,3302719,1.03312E+11,NA,26.2717542,NA,NA,NA,31280.78428
United Arab Emirates,1960,ARE,Middle East & North Africa,High income,92418,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1961,ARE,Middle East & North Africa,High income,100796,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1962,ARE,Middle East & North Africa,High income,112118,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1963,ARE,Middle East & North Africa,High income,125130,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1964,ARE,Middle East & North Africa,High income,138039,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1965,ARE,Middle East & North Africa,High income,149857,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1966,ARE,Middle East & North Africa,High income,159976,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1967,ARE,Middle East & North Africa,High income,169771,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1968,ARE,Middle East & North Africa,High income,182627,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,2010,ARE,Middle East & North Africa,High income,8549988,2.89787E+11,NA,68,NA,NA,NA,33893.30351
United Arab Emirates,2011,ARE,Middle East & North Africa,High income,8946777,3.50666E+11,NA,78,NA,NA,NA,39194.67662
United Arab Emirates,2012,ARE,Middle East & North Africa,High income,9141596,3.74591E+11,NA,84.9999915,493096465,NA,NA,40976.49971
United Arab Emirates,2000,ARE,Middle East & North Africa,High income,3134062,1.04337E+11,NA,23.62530088,NA,NA,2.25,33291.41937
United Arab Emirates,2014,ARE,Middle East & North Africa,High income,9214175,4.03137E+11,NA,90.4,1493181545,NA,NA,43751.83889
United Arab Emirates,2015,ARE,Middle East & North Africa,High income,9262900,3.58135E+11,NA,90.5,905209769,NA,NA,38663.38381
United Arab Emirates,2016,ARE,Middle East & North Africa,High income,9360980,3.57045E+11,NA,90.60000732,484009162,NA,1.639999986,38141.84676
United Arab Emirates,2017,ARE,Middle East & North Africa,High income,9487203,3.85606E+11,NA,94.81992254,501084756,NA,2.460000038,40644.80404
United Arab Emirates,2018,ARE,Middle East & North Africa,High income,9630959,4.22215E+11,26,98.45000178,677692019,NA,NA,43839.35635
United Arab Emirates,2019,ARE,Middle East & North Africa,High income,9770529,4.21142E+11,NA,99.14999796,476586475,NA,2.230000019,43103.32306
United Arab Emirates,2020,ARE,Middle East & North Africa,High income,NA,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1980,ARE,Middle East & North Africa,High income,1019509,43598748449,NA,NA,NA,NA,NA,42764.45666
United Arab Emirates,1981,ARE,Middle East & North Africa,High income,1096610,49333424135,NA,NA,NA,NA,NA,44987.2098
United Arab Emirates,1982,ARE,Middle East & North Africa,High income,1164806,46622718605,NA,NA,NA,NA,NA,40026.16625
United Arab Emirates,1983,ARE,Middle East & North Africa,High income,1228459,42803323345,NA,NA,NA,NA,NA,34843.1029
United Arab Emirates,1984,ARE,Middle East & North Africa,High income,1293971,41807954236,NA,NA,NA,NA,NA,32309.80774
United Arab Emirates,2013,ARE,Middle East & North Africa,High income,9197910,3.90108E+11,32.5,88,401364038,NA,NA,42412.63028
United Arab Emirates,1986,ARE,Middle East & North Africa,High income,1446380,33943612095,NA,NA,NA,NA,NA,23467.97667
United Arab Emirates,1987,ARE,Middle East & North Africa,High income,1533536,36384908744,NA,NA,NA,NA,NA,23726.15233
United Arab Emirates,1988,ARE,Middle East & North Africa,High income,1627066,36275674203,NA,NA,NA,NA,NA,22295.14611
United Arab Emirates,1989,ARE,Middle East & North Africa,High income,1725681,41464995914,NA,NA,NA,NA,NA,24028.19288
United Arab Emirates,1976,ARE,Middle East & North Africa,High income,637922,19213022691,NA,NA,NA,NA,NA,30118.13778
United Arab Emirates,1977,ARE,Middle East & North Africa,High income,735344,24871775165,NA,NA,NA,NA,NA,33823.31965
United Arab Emirates,1978,ARE,Middle East & North Africa,High income,835508,23775831783,NA,NA,NA,NA,NA,28456.73744
United Arab Emirates,1979,ARE,Middle East & North Africa,High income,931749,31225463218,NA,NA,NA,NA,NA,33512.74133
United Arab Emirates,1971,ARE,Middle East & North Africa,High income,277471,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1972,ARE,Middle East & North Africa,High income,330974,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1969,ARE,Middle East & North Africa,High income,203106,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1970,ARE,Middle East & North Africa,High income,234514,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1975,ARE,Middle East & North Africa,High income,548301,14720672507,NA,NA,NA,NA,1.960000038,26847.79438
United Arab Emirates,1973,ARE,Middle East & North Africa,High income,394624,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1974,ARE,Middle East & North Africa,High income,467451,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,1985,ARE,Middle East & North Africa,High income,1366164,40603650232,NA,NA,NA,NA,1.149999976,29720.91947
Afghanistan,1973,AFG,South Asia,Low income,12108963,1733333264,NA,NA,NA,NA,NA,143.1446495
Afghanistan,1972,AFG,South Asia,Low income,11791215,1595555476,NA,NA,NA,NA,NA,135.3173083
Afghanistan,1968,AFG,South Asia,Low income,10637063,1373333367,NA,NA,NA,NA,NA,129.1083231
Afghanistan,1970,AFG,South Asia,Low income,11173642,1748886596,NA,NA,NA,NA,NA,156.5189394
Afghanistan,1971,AFG,South Asia,Low income,11475445,1831108971,NA,NA,NA,NA,NA,159.5675785
Afghanistan,1985,AFG,South Asia,Low income,11938208,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1969,AFG,South Asia,Low income,10893776,1408888922,NA,NA,NA,NA,NA,129.3297129
Afghanistan,1974,AFG,South Asia,Low income,12412950,2155555498,NA,NA,NA,NA,NA,173.6537646
Afghanistan,1975,AFG,South Asia,Low income,12689160,2366666616,NA,NA,NA,NA,NA,186.5108971
Afghanistan,1976,AFG,South Asia,Low income,12943093,2555555567,NA,NA,NA,NA,NA,197.4455076
Afghanistan,1986,AFG,South Asia,Low income,11736179,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1978,AFG,South Asia,Low income,13341198,3300000109,NA,NA,NA,NA,NA,247.3541063
Afghanistan,1979,AFG,South Asia,Low income,13411056,3697940410,NA,NA,NA,NA,NA,275.7381976
Afghanistan,1980,AFG,South Asia,Low income,13356511,3641723322,NA,NA,NA,NA,NA,272.6552857
Afghanistan,1981,AFG,South Asia,Low income,13171673,3478787909,NA,NA,NA,NA,NA,264.1113175
Afghanistan,1982,AFG,South Asia,Low income,12882528,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1983,AFG,South Asia,Low income,12537730,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1984,AFG,South Asia,Low income,12204292,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1960,AFG,South Asia,Low income,8996973,537777811.1,NA,NA,NA,NA,NA,59.77319384
Afghanistan,1961,AFG,South Asia,Low income,9169410,548888895.6,NA,NA,NA,NA,NA,59.86087388
Afghanistan,1962,AFG,South Asia,Low income,9351441,546666677.8,NA,NA,NA,NA,NA,58.45801495
Afghanistan,1963,AFG,South Asia,Low income,9543205,751111191.1,NA,NA,NA,NA,NA,78.70638754
Afghanistan,1964,AFG,South Asia,Low income,9744781,800000044.4,NA,NA,NA,NA,NA,82.09523071
Afghanistan,1977,AFG,South Asia,Low income,13171306,2953333418,NA,NA,NA,NA,NA,224.2247973
Afghanistan,2003,AFG,South Asia,Low income,23680871,4515558808,NA,0.087891253,NA,NA,NA,190.6838143
Afghanistan,1965,AFG,South Asia,Low income,9956320,1006666638,NA,NA,NA,NA,NA,101.1083049
Afghanistan,1966,AFG,South Asia,Low income,10174836,1399999967,NA,NA,NA,NA,NA,137.5943521
Afghanistan,1967,AFG,South Asia,Low income,10399926,1673333418,NA,NA,NA,NA,NA,160.8985889
Afghanistan,2007,AFG,South Asia,Low income,27100536,9747879532,NA,1.9,NA,33.7,NA,359.6932375
Afghanistan,2008,AFG,South Asia,Low income,27722276,10109225814,NA,1.84,NA,NA,2.49000001,364.6607448
Afghanistan,2009,AFG,South Asia,Low income,28394813,12439087077,NA,3.55,NA,NA,NA,438.0760344
Afghanistan,2010,AFG,South Asia,Low income,29185507,15856574731,NA,4,NA,NA,NA,543.3030419
Afghanistan,2011,AFG,South Asia,Low income,30117413,17804292964,NA,5,NA,38.3,NA,591.162759
Afghanistan,2012,AFG,South Asia,Low income,31161376,20001598506,NA,5.454545455,NA,NA,1.690000057,641.8714792
Afghanistan,2013,AFG,South Asia,Low income,32269589,20561069558,NA,5.9,NA,NA,NA,637.1655232
Afghanistan,2014,AFG,South Asia,Low income,33370794,20484885120,NA,7,NA,NA,7.909999847,613.8566892
Afghanistan,2015,AFG,South Asia,Low income,34413603,19907111419,NA,8.26,NA,NA,NA,578.4663529
Afghanistan,2016,AFG,South Asia,Low income,35383128,18017749074,NA,NA,NA,54.5,NA,509.2186613
Afghanistan,2017,AFG,South Asia,Low income,36296400,18869945678,NA,11.44768809,NA,NA,11.18000031,519.8847731
Afghanistan,2018,AFG,South Asia,Low income,37172386,18353881130,NA,NA,NA,NA,NA,493.7504181
Afghanistan,2019,AFG,South Asia,Low income,38041754,19291104008,NA,NA,NA,NA,NA,507.1034319
Afghanistan,2020,AFG,South Asia,Low income,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1994,AFG,South Asia,Low income,17075727,NA,NA,0,NA,NA,NA,NA
Afghanistan,1995,AFG,South Asia,Low income,18110657,NA,NA,0,NA,NA,NA,NA
Afghanistan,1996,AFG,South Asia,Low income,18853437,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1997,AFG,South Asia,Low income,19357126,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1998,AFG,South Asia,Low income,19737765,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1999,AFG,South Asia,Low income,20170844,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1987,AFG,South Asia,Low income,11604534,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1988,AFG,South Asia,Low income,11618005,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1989,AFG,South Asia,Low income,11868877,NA,NA,NA,NA,NA,NA,NA
Afghanistan,1990,AFG,South Asia,Low income,12412308,NA,NA,0,NA,NA,NA,NA
Afghanistan,1991,AFG,South Asia,Low income,13299017,NA,NA,0,NA,NA,NA,NA
Afghanistan,1992,AFG,South Asia,Low income,14485546,NA,NA,0,NA,NA,NA,NA
Afghanistan,1993,AFG,South Asia,Low income,15816603,NA,NA,0,NA,NA,NA,NA
Afghanistan,2002,AFG,South Asia,Low income,22600770,4055179566,NA,0.004561395,NA,NA,NA,179.426611
Afghanistan,2000,AFG,South Asia,Low income,20779953,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2001,AFG,South Asia,Low income,21606988,NA,NA,0.004722568,NA,NA,NA,NA
Afghanistan,2006,AFG,South Asia,Low income,26433049,6971285595,NA,2.107123645,NA,NA,NA,263.7336917
Afghanistan,2004,AFG,South Asia,Low income,24726684,5226778809,NA,0.10580903,NA,NA,NA,211.3821169
Afghanistan,2005,AFG,South Asia,Low income,25654277,6209137625,NA,1.224148084,NA,NA,NA,242.0312849
Antigua and Barbuda,2002,ATG,Latin America & Caribbean,High income,78295,814381481.5,NA,12.5,NA,NA,NA,10401.44941
Antigua and Barbuda,2006,ATG,Latin America & Caribbean,High income,82704,1157662963,NA,30,NA,NA,NA,13997.66593
Antigua and Barbuda,2001,ATG,Latin America & Caribbean,High income,77212,800481481.5,NA,8.899285515,NA,NA,8.420000076,10367.31961
Antigua and Barbuda,1982,ATG,Latin America & Caribbean,High income,61779,164369278.9,NA,NA,NA,NA,NA,2660.601157
Antigua and Barbuda,2003,ATG,Latin America & Caribbean,High income,79300,856396296.3,NA,17.22864878,NA,NA,NA,10799.44888
Antigua and Barbuda,2004,ATG,Latin America & Caribbean,High income,80336,919729629.6,NA,24.26654372,NA,NA,NA,11448.53652
Antigua and Barbuda,2005,ATG,Latin America & Caribbean,High income,81465,1022962963,NA,27,NA,NA,NA,12557.08541
Antigua and Barbuda,1987,ATG,Latin America & Caribbean,High income,61717,337174861.9,NA,NA,NA,NA,NA,5463.241276
Antigua and Barbuda,1988,ATG,Latin America & Caribbean,High income,61771,398637727.8,NA,NA,NA,NA,NA,6453.477
Antigua and Barbuda,1989,ATG,Latin America & Caribbean,High income,62008,438794788.5,NA,NA,NA,NA,NA,7076.422212
Antigua and Barbuda,1990,ATG,Latin America & Caribbean,High income,62528,459470370.4,NA,0,NA,NA,NA,7348.233917
Antigua and Barbuda,1991,ATG,Latin America & Caribbean,High income,63367,481707407.4,NA,0,NA,NA,6,7601.865441
Antigua and Barbuda,1992,ATG,Latin America & Caribbean,High income,64471,499281481.5,NA,0,NA,NA,NA,7744.280087
Antigua and Barbuda,1993,ATG,Latin America & Caribbean,High income,65777,535174074.1,NA,0,NA,NA,NA,8136.188547
Antigua and Barbuda,1994,ATG,Latin America & Caribbean,High income,67204,589429629.6,NA,0,NA,NA,NA,8770.752182
Antigua and Barbuda,1995,ATG,Latin America & Caribbean,High income,68670,577281481.5,NA,2.200768802,NA,NA,NA,8406.603779
Antigua and Barbuda,1996,ATG,Latin America & Caribbean,High income,70173,633729629.6,NA,2.858449577,NA,NA,NA,9030.961048
Antigua and Barbuda,1997,ATG,Latin America & Caribbean,High income,71704,680618518.5,NA,3.480536838,NA,NA,NA,9492.057884
Antigua and Barbuda,1998,ATG,Latin America & Caribbean,High income,73224,727859259.3,NA,4.0717165,NA,NA,NA,9940.17343
Antigua and Barbuda,1999,ATG,Latin America & Caribbean,High income,74674,766200000,NA,5.300681138,NA,NA,NA,10260.59941
Antigua and Barbuda,2000,ATG,Latin America & Caribbean,High income,76016,826370370.4,NA,6.482225737,NA,NA,NA,10871.00571
Antigua and Barbuda,1960,ATG,Latin America & Caribbean,High income,54131,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1961,ATG,Latin America & Caribbean,High income,55001,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1962,ATG,Latin America & Caribbean,High income,55841,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1963,ATG,Latin America & Caribbean,High income,56702,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1964,ATG,Latin America & Caribbean,High income,57641,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1965,ATG,Latin America & Caribbean,High income,58698,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2007,ATG,Latin America & Caribbean,High income,84026,1312759259,NA,34,NA,NA,NA,15623.25065
Antigua and Barbuda,2008,ATG,Latin America & Caribbean,High income,85397,1370070370,NA,38,NA,NA,NA,16043.54217
Antigua and Barbuda,2009,ATG,Latin America & Caribbean,High income,86746,1228329630,NA,42,NA,NA,NA,14160.07228
Antigua and Barbuda,2010,ATG,Latin America & Caribbean,High income,88028,1148700000,NA,47,NA,NA,NA,13049.25705
Antigua and Barbuda,2011,ATG,Latin America & Caribbean,High income,89253,1137637037,NA,52,NA,NA,NA,12746.20502
Antigua and Barbuda,2012,ATG,Latin America & Caribbean,High income,90409,1199948148,NA,58,NA,NA,NA,13272.44133
Antigua and Barbuda,2013,ATG,Latin America & Caribbean,High income,91516,1181448148,NA,63.4,NA,NA,NA,12909.74418
Antigua and Barbuda,2014,ATG,Latin America & Caribbean,High income,92562,1249733333,NA,67.78,NA,NA,NA,13501.58092
Antigua and Barbuda,2015,ATG,Latin America & Caribbean,High income,93566,1336692593,NA,70,NA,NA,NA,14286.09316
Antigua and Barbuda,2016,ATG,Latin America & Caribbean,High income,94527,1436585185,NA,73,162,NA,NA,15197.61746
Antigua and Barbuda,2017,ATG,Latin America & Caribbean,High income,95426,1467977778,NA,NA,3183,NA,NA,15383.41519
Antigua and Barbuda,2018,ATG,Latin America & Caribbean,High income,96286,1605351852,NA,NA,11437,NA,NA,16672.74424
Antigua and Barbuda,2019,ATG,Latin America & Caribbean,High income,97118,1661962963,NA,NA,NA,NA,NA,17112.82113
Antigua and Barbuda,2020,ATG,Latin America & Caribbean,High income,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1980,ATG,Latin America & Caribbean,High income,61865,131431026.7,NA,NA,NA,NA,NA,2124.481155
Antigua and Barbuda,1981,ATG,Latin America & Caribbean,High income,61800,147841734.4,NA,NA,NA,NA,NA,2392.261075
Antigua and Barbuda,1968,ATG,Latin America & Caribbean,High income,62521,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1983,ATG,Latin America & Caribbean,High income,61787,182144093,NA,NA,NA,NA,NA,2947.935536
Antigua and Barbuda,1984,ATG,Latin America & Caribbean,High income,61786,208372846.3,NA,NA,NA,NA,NA,3372.4929
Antigua and Barbuda,1985,ATG,Latin America & Caribbean,High income,61786,240923924.8,NA,NA,NA,NA,NA,3899.328728
Antigua and Barbuda,1986,ATG,Latin America & Caribbean,High income,61754,290440140.7,NA,NA,NA,NA,NA,4703.179401
Antigua and Barbuda,1973,ATG,Latin America & Caribbean,High income,63650,NA,NA,NA,NA,NA,20.45999908,NA
Antigua and Barbuda,1974,ATG,Latin America & Caribbean,High income,63120,NA,NA,NA,NA,NA,19.45999908,NA
Antigua and Barbuda,1975,ATG,Latin America & Caribbean,High income,62675,NA,NA,NA,NA,NA,19.45000076,NA
Antigua and Barbuda,1976,ATG,Latin America & Caribbean,High income,62367,NA,NA,NA,NA,NA,20.69000053,NA
Antigua and Barbuda,1977,ATG,Latin America & Caribbean,High income,62159,77496753.7,NA,NA,NA,NA,NA,1246.750329
Antigua and Barbuda,1978,ATG,Latin America & Caribbean,High income,62036,87879341.48,NA,NA,NA,NA,NA,1416.5862
Antigua and Barbuda,1966,ATG,Latin America & Caribbean,High income,59915,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1967,ATG,Latin America & Caribbean,High income,61241,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1972,ATG,Latin America & Caribbean,High income,64133,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1969,ATG,Latin America & Caribbean,High income,63550,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1970,ATG,Latin America & Caribbean,High income,64177,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1971,ATG,Latin America & Caribbean,High income,64357,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,1979,ATG,Latin America & Caribbean,High income,61952,109079978.9,NA,NA,NA,NA,NA,1760.717634
Albania,1965,ALB,Europe & Central Asia,Upper middle income,1864791,NA,NA,NA,NA,NA,NA,NA
Albania,1969,ALB,Europe & Central Asia,Upper middle income,2081695,NA,NA,NA,NA,NA,NA,NA
Albania,1970,ALB,Europe & Central Asia,Upper middle income,2135479,NA,NA,NA,NA,NA,NA,NA
